GeneID	Length	#Reads	EC#	RPKM	Eukaryota	Archaea	Bacteria	Bacteroidetes	Actinobacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteria	Alphaproteobacteria	Firmicutes	Bacilli	Clostridia	Lachnospiraceae	Eubacteriaceae	Ruminococcaceae	Clostridiaceae	Oscillospiraceae	Other
gi|483962934|ref|NZ_CAEF01000796.1|:7676-9544|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_A4BWH2	1869	1	0.0.0.0	22.0328396831537	0	0	0	22.0328396831537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483961187|ref|NZ_CAEF01000366.1|:7734-8552|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown	819	1	0.0.0.0	50.2800700461712	0	0	0	50.2800700461712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|444344233|ref|NZ_AJMF01000162.1|:c515-252|714|g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans|UniRef90_G4AW29|UniRef50_G4AC10	264	1	0.0.0.0	155.982490029599	0	0	0	0	0	0	155.982490029599	0	0	0	0	0	0	0	0	0	0	0
gi|408375858|ref|NZ_AMRJ01000061.1|:c2984-8|519051|g__Alcanivorax.s__Alcanivorax_hongdengensis|UniRef90_unknown|UniRef50_O00370	2977	2	0.0.0.0	27.6650167066269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.305284012658
gi|390945347|ref|NC_018011.1|:c549549-548581|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMB1|UniRef50_I3ZXS7	969	1	0.0.0.0	42.4967774693645	0	0	0	42.4967774693645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1087517-1088725|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJB1|UniRef50_I3YJB1	1209	1	0.0.0.0	34.0606926119224	0	0	0	34.0606926119224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2564007-2564621|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNJ9|UniRef50_R6VU18	615	1	0.0.0.0	66.9583371834377	0	0	0	66.9583371834377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1922463-1923077|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM16|UniRef50_B3EUM3	615	5	0.0.0.0	334.791685917189	0	0	0	334.791685917189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1689877-1689272|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLJ1|UniRef50_R7JGA9	606	1	0.0.0.0	67.9527679336868	0	0	0	67.9527679336868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3346408-3347064|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6VLN4|UniRef50_B7UZU0	657	1	1.6.5.8	62.6778955370079	0	0	0	62.6778955370079	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2850132-2850680|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP69|UniRef50_R6CY33	549	1	0.0.0.0	75.0079733475669	0	0	0	75.0079733475669	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c451932-451372|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIH6|UniRef50_I3YIH6	561	1	0.0.0.0	73.4035247198114	0	0	0	73.4035247198114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3697988-3697443|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR79|UniRef50_R6BST1	546	1	0.0.0.0	75.4201050692568	0	0	0	75.4201050692568	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c892064-891534|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJP6|UniRef50_I3YJP6	531	1	0.0.0.0	77.5506165118911	0	0	0	77.5506165118911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1930184-1930771|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM32|UniRef50_A6KYI0	588	1	0.0.0.0	70.032954707167	0	0	0	70.032954707167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c679466-678882|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJ25|UniRef50_D4INZ1	585	1	0.0.0.0	70.3920980646397	0	0	0	70.3920980646397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3232523-3231927|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ44|UniRef50_R6JE51	597	1	0.0.0.0	68.9771815206268	0	0	0	68.9771815206268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3076348-3076941|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPQ6|UniRef50_R7JPB9	594	1	0.0.0.0	69.3255511242663	0	0	0	69.3255511242663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3575480-3574902|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQX1|UniRef50_Q9AGG3	579	2	0.0.0.0	142.243099716111	0	0	0	142.243099716111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2700697-2701512|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNV4|UniRef50_Q5LI89	816	1	4.2.1.126	50.4649232448703	0	0	0	50.4649232448703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1924018-1924842|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM19|UniRef50_B1ZNE5	825	1	0.0.0.0	49.9143968094718	0	0	0	49.9143968094718	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1095797-1094976|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK56|UniRef50_I3YK56	822	3	0.0.0.0	150.28969842268	0	0	0	150.28969842268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2127984-2128811|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMK0|UniRef50_I3YMK0	828	2	0.0.0.0	99.4670950913386	0	0	0	99.4670950913386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c2894285-2893494|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPA9|UniRef50_Q7MB61	792	2	3.5.99.6	103.988326686399	0	0	0	103.988326686399	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1929672-1928878|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM30|UniRef50_I3YM30	795	2	0.0.0.0	103.595917906451	0	0	0	103.595917906451	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1860405-1859599|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IME9|UniRef50_R7DI58	807	3	0.0.0.0	153.083187240945	0	0	0	153.083187240945	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3303180-3302374|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQA3|UniRef50_I3YQA3	807	4	0.0.0.0	204.11091632126	0	0	0	204.11091632126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1677750-1676887|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLI1|UniRef50_I3YLI1	864	1	0.0.0.0	47.6613163979331	0	0	0	47.6613163979331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:612336-613193|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIW5|UniRef50_I3YIW5	858	1	0.0.0.0	47.9946123167998	0	0	0	47.9946123167998	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3214362-3213643|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ28|UniRef50_I3YQ28	720	1	0.0.0.0	57.1935796775197	0	0	0	57.1935796775197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1966159-1966875|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6YBI7|UniRef50_R6YBI7	717	1	2.1.1.163	57.4328833581788	0	0	0	57.4328833581788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1209242-1208526|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKE7|UniRef50_H1ZDU4	717	1	0.0.0.0	57.4328833581788	0	0	0	57.4328833581788	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1751265-1750381|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLN8|UniRef50_R5MP62	885	1	0.0.0.0	46.5303699071347	0	0	0	46.5303699071347	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3568415-3567678|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW5|UniRef50_R6VQK0	738	1	1.1.1.25	55.7986143195314	0	0	0	55.7986143195314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:457691-458428|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YII3|UniRef50_I3YII3	738	1	0.0.0.0	55.7986143195314	0	0	0	55.7986143195314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3307713-3308411|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQA9|UniRef50_Q9ZAB8	699	1	0.0.0.0	58.9118417279173	0	0	0	58.9118417279173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2294577-2295275|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMY2|UniRef50_Q2JFI8	699	2	0.0.0.0	117.823683455835	0	0	58.9118417279173	58.9118417279173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c2849989-2849294|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP68|UniRef50_I3YP68	696	2	0.0.0.0	118.331544160386	0	0	0	118.331544160386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3696628-3695924|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR77|UniRef50_U5WIT1	705	1	1.11.1.15	58.4104643515095	0	0	0	58.4104643515095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c548270-547530|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIQ7|UniRef50_I3YIQ7	741	2	0.0.0.0	111.145417996799	0	0	0	111.145417996799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3085625-3086377|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_D4IL63|UniRef50_Q55791	753	1	0.0.0.0	54.6870881378675	0	0	0	54.6870881378675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c878063-877533|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJM9|UniRef50_I3YJM9	531	1	0.0.0.0	77.5506165118911	0	0	0	77.5506165118911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1379536-1379264|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKT5|UniRef50_Q11U60	273	1	0.0.0.0	150.840210138514	0	0	0	150.840210138514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3213271-3213513|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6Y4C7|UniRef50_R7DIX0	243	1	0.0.0.0	169.462458303762	0	0	0	169.462458303762	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1989851-1989591|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R5V4S6|UniRef50_F9Z6D6	261	2	0.0.0.0	315.550784427695	0	0	0	315.550784427695	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3144189-3143869|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPW5|UniRef50_R6WTC0	321	1	0.0.0.0	128.284664697241	0	0	0	128.284664697241	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1989588-1989274|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6Z736|UniRef50_R6Z736	315	3	0.0.0.0	392.184546360135	0	0	0	392.184546360135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3569867-3569550|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQW7|UniRef50_R7JKC0	318	1	0.0.0.0	129.494897383064	0	0	0	129.494897383064	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c864944-864621|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJL4|UniRef50_I3YI05	324	2	0.0.0.0	254.193687455643	0	0	0	254.193687455643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1423403-1423729|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKX1|UniRef50_I3YKX1	327	1	0.0.0.0	125.930817638576	0	0	0	125.930817638576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1923722-1924012|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM18|UniRef50_R6E932	291	1	0.0.0.0	141.509887861904	0	0	0	141.509887861904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c2115507-2115349|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMI1|UniRef50_I3YMI1	159	2	0.0.0.0	517.979589532254	0	0	0	517.979589532254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c678824-678639|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJ24|UniRef50_Q64NV0	186	3	0.0.0.0	664.183505932487	0	0	0	664.183505932487	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:824945-825136|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJG1|UniRef50_I3YJG1	192	1	0.0.0.0	214.475923790699	0	0	0	214.475923790699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2861536-2861640|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP80|UniRef50_I3YP80	105	141	0.0.0.0	55298.0210367791	0	0	0	55298.0210367791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:2000802-2000957|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM98|UniRef50_I3YM98	156	6	0.0.0.0	1583.82220645439	0	0	0	1583.82220645439	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1373140-1373364|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKT0|UniRef50_R5W7X8	225	1	0.0.0.0	183.019454968063	0	0	0	183.019454968063	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3700091-3699864|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR82|UniRef50_I4C814	228	3	0.0.0.0	541.833912734397	0	0	0	361.222608489598	0	0	0	0	0	0	0	0	0	0	0	0	0	3070.39217216159
gi|390945347|ref|NC_018011.1|:2012537-2012773|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMA8|UniRef50_I3YMA8	237	1	0.0.0.0	173.752647121579	0	0	0	173.752647121579	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3107052-3107516|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPT6|UniRef50_R5WVB2	465	1	0.0.0.0	88.5578007909983	0	0	0	88.5578007909983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3686039-3685575|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR68|UniRef50_I3YR68	465	1	0.0.0.0	88.5578007909983	0	0	0	88.5578007909983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c320040-319573|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YI88|UniRef50_R6XYY8	468	1	0.0.0.0	87.9901225807996	0	0	0	87.9901225807996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1981581-1981105|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM78|UniRef50_I3YM78	477	1	0.0.0.0	86.329931588709	0	0	0	86.329931588709	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1689268-1688798|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLJ0|UniRef50_R5IFD7	471	1	0.0.0.0	87.4296759401575	0	0	0	87.4296759401575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1090500-1090943|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK50|UniRef50_I3YK50	444	1	0.0.0.0	92.746345423005	0	0	0	92.746345423005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3033249-3033755|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YPM8|UniRef50_Q8KED5	507	1	0.0.0.0	81.2216516130458	0	0	0	81.2216516130458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1018149-1017640|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJY4|UniRef50_B2RHU7	510	2	0.0.0.0	161.487754383585	0	0	0	161.487754383585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1013060-1013437|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJY0|UniRef50_C1F934	378	3	0.0.0.0	326.820455300113	0	0	0	326.820455300113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:123015-123359|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YHP4|UniRef50_Q2RNH9	345	1	0.0.0.0	119.360514109606	0	0	0	119.360514109606	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1930788-1931150|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM33|UniRef50_Q1D759	363	2	0.0.0.0	226.883621861235	0	0	0	226.883621861235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1259342-1259695|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKJ0|UniRef50_R5V9A8	354	1	0.0.0.0	116.325924767837	0	0	0	116.325924767837	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1926371-1926799|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM23|UniRef50_A6LEI4	429	2	0.0.0.0	191.978449267199	0	0	0	191.978449267199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c3096092-3095685|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R5UER1|UniRef50_R5UER1	408	1	0.0.0.0	100.929846489741	0	0	0	100.929846489741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1108794-1109195|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YK70|UniRef50_I3YK70	402	1	0.0.0.0	102.436262108991	0	0	0	102.436262108991	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3199749-3201350|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ13|UniRef50_I3YQ13	1602	1	0.0.0.0	25.7049796303459	0	0	0	25.7049796303459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:c1350493-1348886|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R7JHR5|UniRef50_B7MDM9	1608	3	4.1.1.49	76.8271965817429	0	0	0	76.8271965817429	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:73253-74842|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YHL1|UniRef50_I3YHL1	1590	1	0.0.0.0	25.8989794766127	0	0	0	25.8989794766127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:3211509-3213098|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ26|UniRef50_I3YQ26	1590	1	0.0.0.0	25.8989794766127	0	0	0	25.8989794766127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|390945347|ref|NC_018011.1|:1371510-1373147|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YKS9|UniRef50_I3YKS9	1638	1	0.0.0.0	25.1400350230856	0	0	0	25.1400350230856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
